 LONGITUDE, LATITUDE, WELL_DEPTH, STATIC_DEPTH
-11172169.37,4551987.355,41,26
-11171660.86,4551469.443,46,18
-11172549.08,4551078.35,50,
-11170897.77,4551729.242,50,
-11166986.44,4571751.529,112,37
-11158290.05,4578418.491,117,80
-11178586.83,4553717.814,124,21
-11178580.81,4553257.589,124,30
-11198319.76,4559802.137,129,10
-11169207.38,4579471.725,130,75
-11165706.38,4571614.744,134,60
-11169212.83,4577675.669,138,80
-11170393.27,4550955.924,140,22
-11171407.39,4550951.698,140,15.5
-11170393.27,4550955.924,140,22
-11179902.29,4553586.339,140,32
-11199471.36,4558148.767,142,32
-11179771.93,4553737.26,143,19
-11203781.21,4560727.276,145,21.5
-11169750.51,4573577.619,147,78
-11165462.03,4569191.873,150,76
-11169482.23,4575368.446,150,90
-11198572.68,4559548.482,150,17
-11168227.43,4575101.984,150,96
-11166226.69,4569199.635,153,84
-11160382.97,4542865.533,153,62
-11192376.53,4560623.351,154,6
-11158350.83,4541837.116,154,47
-11167621.08,4571886.34,154,93
-11194557.16,4578513.695,155,98
-11160385.2,4543634.448,155,99
-11181839.02,4520182.982,155,105
-11166481.05,4568188.226,160,82
-11165203.77,4568179.336,160,91
-11197309.21,4557745.439,160,22
-11164446.69,4542877.78,160,91
-11177784.1,4533518.779,160,90
-11179786.4,4533774.332,160,82
-11185062.95,4555249.413,163,84
-11183585.07,4554644.667,164,10
-11172645.93,4578803.977,165,
-11194260.94,4557712.029,165,13
-11199339,4558782.197,165,24
-11157232.63,4550158.435,165,73
-11187211.08,4555655.604,168,27
-11172105.03,4564635.88,170,107
-11188223.64,4556674.956,170,12
-11196286.62,4558757.524,170,11
-11173434.96,4550176.185,170,29
-11182853.03,4515064.577,170,124
-11171660.42,4551987.637,170,50
-11189229.3,4557694.549,171,
-11184714.41,4554488.941,171,21
-11191617.55,4557065.414,174,8
-11195275.84,4557718.373,174,11
-11196291.97,4557729.51,175,23
-11163208.82,4549806.692,175,20
-11198958.4,4539754.552,175,96
-11161142.5,4508726.352,175,76
-11177813.15,4508146.603,175,63
-11185094.34,4554649.035,175,25
-11192249.62,4557696.663,176,13
-11162190.69,4549799.508,176,20
-11180812.99,4512253.665,176,84
-11193252.28,4557704.699,177,10
-11202260.7,4558925.439,177,23
-11159364.06,4541840.635,178,82
-11189857.92,4556935.166,178,25
-11199723.72,4558655.028,178,25
-11190235.52,4557696.24,180,12
-11190742.47,4558199.66,180,8
-11191244.07,4557693.844,180,9
-11170642.51,4549930.653,180,9
-11157211.15,4541704.102,180,71
-11182077.92,4512253.384,180,79
-11202354.87,4541627.532,180,135
-11166608.85,4551221.204,180,20
-11193881.57,4559364.061,180,44
-11190868.26,4558072.922,180,49
-11194641.77,4557586.707,180,68
-11183071.55,4553391.596,183,183
-11188354.89,4558324.426,184,39
-11190110.17,4556808.866,185,26
-11163463.07,4550064.194,185,37.67
-11170918.36,4570382.067,185,110
-11164579.83,4541725.919,186,72
-11202255.46,4539982.253,186,140
-11189527.53,4574631.067,187,109
-11195155.4,4556577.555,188,34
-11188856.94,4558581.435,188,30
-11187338.54,4555783.722,188,43
-11193124.82,4557071.194,190,28
-11204425.75,4558823.646,190,45
-11172686.89,4538929.917,190,71
-11170528.41,4539825.48,190,
-11179419.72,4530830.15,190,115
-11199968.41,4540764.326,190,128
-11162287.31,4541974.073,190,124
-11178320.66,4509681.774,190,155
-11162542.35,4541974.636,190,136
-11187594.35,4557558.231,190,28
-11197428.43,4559421.586,190,30
-11184714.52,4554489.786,190,87
-11203011.99,4561227.317,190,36
-11185612.42,4545808.187,190,44
-11164849,4549684.281,192,
-11182834.44,4533500.636,192,85
-11185218.91,4553860.705,192,34
-11163073.45,4537122.563,193,147
-11181956.91,4554492.605,193,69
-11200268.19,4549327.624,193,66
-11202265.59,4557924.475,194,28
-11177500.57,4549660.757,194,26
-11186158.11,4515325.576,194,105
-11181578.31,4518390.806,195,116
-11192120.49,4556563.6,196,27
-11203408.73,4558813.072,196,38
-11184612.77,4529655.859,197,124
-11161424.59,4546973.455,198,49
-11169037.62,4567950.594,198,112
-11194835.13,4547935.199,198,87
-11191902.86,4550665.857,198,86
-11171151.35,4545315.223,199,106
-11184639.15,4524021.042,199,136
-11168532.34,4567437.953,200,95
-11193126.04,4555558.072,200,43
-11171534.4,4544934.638,200,
-11191833.18,4541814.454,200,62
-11201367.91,4540374.76,200,65
-11199344.46,4538085.79,200,100
-11185787.75,4524406.626,200,140
-11187232.68,4575640.281,200,118
-11170382.13,4545820.719,200,110
-11197553.55,4521712.755,200,160
-11200903.38,4548934.92,200,50
-11181547.81,4550185.059,200,44
-11203274.04,4555888.022,201,46
-11179511.44,4551228.389,201,38
-11185597.62,4549129.58,201,80
-11188760.54,4545919.85,202,60
-11204046.04,4559454.579,203,20
-11176738.48,4549152.821,204,41
